iter	Passed	Remaining
0	149	149152
1	151	75493
2	152	50748
3	154	38350
4	155	30907
5	156	25921
6	157	22324
7	157	19587
8	159	17520
9	160	15865
10	161	14540
11	163	13434
12	164	12503
13	166	11703
14	167	10989
15	168	10375
16	169	9828
17	171	9365
18	172	8923
19	173	8516
20	175	8161
21	176	7850
22	177	7552
23	179	7299
24	181	7060
25	182	6839
26	184	6652
27	186	6464
28	188	6304
29	190	6163
30	192	6008
31	193	5864
32	195	5719
33	196	5581
34	197	5448
35	198	5326
36	200	5210
37	201	5102
38	202	4999
39	204	4908
40	206	4822
41	207	4731
42	208	4647
43	210	4563
44	211	4484
45	212	4412
46	214	4344
47	215	4274
48	216	4206
49	218	4148
50	219	4088
51	221	4032
52	222	3975
53	223	3923
54	225	3872
55	226	3822
56	228	3776
57	229	3728
58	230	3680
59	232	3640
60	233	3597
61	235	3557
62	236	3514
63	237	3474
64	239	3443
65	241	3410
66	242	3375
67	243	3339
68	244	3304
69	246	3280
70	248	3247
71	249	3214
72	250	3183
73	251	3151
74	253	3121
75	254	3093
76	255	3064
77	256	3037
78	258	3011
79	259	2987
80	261	2964
81	262	2937
82	263	2913
83	265	2889
84	266	2866
85	267	2844
86	268	2822
87	269	2796
88	271	2775
89	272	2754
90	273	2736
91	275	2718
92	276	2698
93	277	2679
94	279	2659
95	280	2641
96	281	2618
97	282	2600
98	283	2583
99	285	2565
100	286	2549
101	288	2536
102	289	2523
103	291	2509
104	292	2494
105	294	2480
106	295	2466
107	296	2452
108	298	2439
109	299	2424
110	300	2410
111	302	2397
112	303	2383
113	305	2371
114	306	2358
115	307	2346
116	309	2334
117	310	2322
118	311	2308
119	313	2296
120	314	2285
121	316	2276
122	317	2265
123	319	2255
124	320	2243
125	322	2236
126	324	2228
127	325	2217
128	326	2207
129	328	2197
130	329	2188
131	331	2178
132	332	2168
133	333	2158
134	335	2149
135	336	2139
136	338	2131
137	340	2123
138	341	2114
139	342	2106
140	344	2098
141	345	2090
142	347	2083
143	348	2073
144	350	2064
145	351	2056
146	353	2048
147	354	2040
148	355	2032
149	357	2026
150	359	2018
151	360	2010
152	361	2002
153	363	1994
154	364	1986
155	365	1980
156	367	1972
157	368	1965
158	370	1958
159	371	1951
160	373	1945
161	374	1938
162	376	1930
163	377	1923
164	378	1916
165	380	1909
166	381	1902
167	382	1896
168	384	1888
169	385	1882
170	386	1876
171	388	1870
172	390	1864
173	391	1859
174	393	1853
175	395	1850
176	396	1845
177	398	1841
178	400	1837
179	402	1832
180	403	1827
181	405	1822
182	407	1817
183	408	1812
184	410	1806
185	411	1801
186	413	1796
187	415	1792
188	416	1786
189	417	1781
190	419	1776
191	420	1771
192	422	1765
193	424	1761
194	425	1756
195	427	1752
196	428	1747
197	430	1744
198	432	1739
199	433	1734
200	435	1730
201	436	1725
202	438	1720
203	439	1715
204	441	1711
205	443	1708
206	444	1704
207	446	1699
208	447	1694
209	449	1689
210	450	1684
211	451	1679
212	453	1674
213	454	1670
214	457	1669
215	459	1666
216	460	1661
217	461	1656
218	463	1654
219	465	1649
220	466	1645
221	468	1640
222	469	1635
223	470	1631
224	472	1626
225	473	1622
226	474	1617
227	476	1612
228	477	1607
229	478	1603
230	480	1598
231	481	1593
232	482	1588
233	483	1584
234	485	1580
235	486	1575
236	488	1571
237	489	1566
238	490	1562
239	492	1558
240	493	1553
241	494	1548
242	495	1544
243	496	1539
244	498	1535
245	500	1532
246	501	1528
247	502	1523
248	503	1519
249	505	1517
250	507	1513
251	508	1509
252	510	1506
253	511	1501
254	512	1498
255	514	1494
256	516	1491
257	517	1488
258	518	1484
259	520	1480
260	521	1477
261	522	1473
262	524	1468
263	525	1464
264	526	1460
265	528	1457
266	529	1453
267	530	1449
268	532	1446
269	533	1442
270	534	1438
271	536	1435
272	537	1431
273	538	1427
274	539	1423
275	541	1419
276	542	1416
277	544	1413
278	545	1409
279	546	1406
280	548	1402
281	549	1399
282	550	1395
283	552	1391
284	553	1388
285	554	1384
286	555	1381
287	557	1378
288	558	1374
289	560	1371
290	561	1368
291	562	1364
292	564	1361
293	565	1357
294	566	1354
295	567	1350
296	569	1347
297	570	1344
298	572	1341
299	573	1339
300	575	1336
301	576	1333
302	578	1329
303	579	1326
304	580	1322
305	581	1319
306	582	1316
307	584	1313
308	586	1310
309	587	1307
310	588	1303
311	589	1300
312	590	1297
313	592	1294
314	593	1290
315	595	1288
316	596	1284
317	597	1281
318	599	1279
319	600	1276
320	602	1273
321	603	1270
322	604	1267
323	605	1263
324	607	1260
325	608	1257
326	609	1254
327	610	1251
328	612	1248
329	613	1246
330	615	1243
331	616	1240
332	617	1236
333	618	1233
334	620	1230
335	621	1227
336	622	1224
337	623	1221
338	625	1219
339	626	1216
340	628	1214
341	630	1212
342	631	1209
343	632	1206
344	633	1203
345	635	1200
346	636	1197
347	637	1194
348	639	1192
349	640	1189
350	641	1186
351	643	1183
352	644	1181
353	645	1178
354	646	1175
355	648	1172
356	649	1169
357	650	1166
358	651	1163
359	653	1160
360	654	1158
361	655	1155
362	657	1153
363	658	1150
364	659	1147
365	661	1145
366	662	1142
